date,categoria_indice,precio_promedio
2024-03-01,Alquileres,430141.84027777775
2024-03-01,Azucar/ dulces/ chocolate/golosinas/ etc.,2699.895
2024-03-01,limpieza,3500.7083333333335
2024-03-01,farmacia,2786.3636363636365
2024-03-01,cuidado oral,2825.1923076923076
2024-03-01,Bebidas no alcoholicas,1610.229090909091
2024-03-01,Electricidad,34786.33
2024-03-02,limpieza,3500.7083333333335
2024-03-02,farmacia,2786.3636363636365
2024-03-02,cuidado oral,2934.2032967032965
2024-03-02,Bebidas no alcoholicas,1578.8654545454547
2024-03-02,Azucar/ dulces/ chocolate/golosinas/ etc.,2734.031
2024-03-02,Alquileres,430141.84027777775
2024-03-02,Electricidad,34786.33
2024-03-03,Alquileres,430141.84027777775
2024-03-03,Electricidad,34786.33
2024-03-03,Azucar/ dulces/ chocolate/golosinas/ etc.,2734.031
2024-03-03,Bebidas no alcoholicas,1578.8654545454547
2024-03-03,cuidado oral,2858.228021978022
2024-03-03,farmacia,2786.3636363636365
2024-03-03,limpieza,3500.7083333333335
2024-03-04,cuidado oral,3194.285714285714
2024-03-04,Alquileres,440927.7397260274
2024-03-04,limpieza,3400.7083333333335
2024-03-04,Azucar/ dulces/ chocolate/golosinas/ etc.,2818.04725
2024-03-04,Bebidas no alcoholicas,1578.8654545454547
2024-03-04,farmacia,2455.0
2024-03-04,Electricidad,34786.33
2024-03-05,cuidado oral,3161.0164835164833
2024-03-05,Bebidas no alcoholicas,1364.129
2024-03-05,Azucar/ dulces/ chocolate/golosinas/ etc.,2818.04725
2024-03-05,limpieza,5147.791666666667
2024-03-05,farmacia,2461.25
2024-03-05,Alquileres,441913.9383561644
2024-03-05,Electricidad,34786.33
2024-03-06,cuidado oral,3161.0164835164833
2024-03-06,Azucar/ dulces/ chocolate/golosinas/ etc.,2964.427
2024-03-06,Bebidas no alcoholicas,1559.129
2024-03-06,farmacia,2455.0
2024-03-06,Alquileres,441913.9383561644
2024-03-06,Electricidad,34786.33
2024-03-06,limpieza,5331.125
2024-03-07,Bebidas no alcoholicas,1559.129
2024-03-07,Electricidad,34786.33
2024-03-07,cuidado oral,3305.8333333333335
2024-03-07,farmacia,2477.777777777778
2024-03-07,limpieza,5324.125
2024-03-07,Azucar/ dulces/ chocolate/golosinas/ etc.,2958.827
2024-03-07,Alquileres,426870.5369127517
2024-03-08,Electricidad,34786.33
2024-03-08,Azucar/ dulces/ chocolate/golosinas/ etc.,2958.827
2024-03-08,Bebidas no alcoholicas,1577.879
2024-03-08,cuidado oral,3294.0422077922076
2024-03-08,farmacia,2477.777777777778
2024-03-08,limpieza,5346.208333333333
2024-03-08,Alquileres,426870.5369127517
2024-03-09,Electricidad,34786.33
2024-03-09,farmacia,1316.5
2024-03-09,Alquileres,426870.5369127517
2024-03-09,Bebidas no alcoholicas,1453.22125
2024-03-09,Azucar/ dulces/ chocolate/golosinas/ etc.,4985.0
2024-03-09,cuidado oral,3084.1349206349205
2024-03-09,limpieza,5112.875
2024-03-10,limpieza,5112.875
2024-03-10,farmacia,1418.611111111111
2024-03-10,cuidado oral,2555.9126984126983
2024-03-10,Bebidas no alcoholicas,1461.79625
2024-03-10,Azucar/ dulces/ chocolate/golosinas/ etc.,4985.0
2024-03-10,Alquileres,426870.5369127517
2024-03-10,Electricidad,34786.33
