,date,categoria_indice,indice
0,2024-03-01,Aceites/ aderezos/ grasas y manteca,100.0
1,2024-03-01,Alquileres,100.0
2,2024-03-01,Azucar/ dulces/ chocolate/golosinas/ etc.,100.0
3,2024-03-01,Bebidas alcoholicas y tabaco,100.0
4,2024-03-01,Bebidas no alcoholicas,100.0
5,2024-03-01,Calzado,100.0
6,2024-03-01,Carnes y derivados,100.0
7,2024-03-01,Electricidad,100.0
8,2024-03-01,Frutas,100.0
9,2024-03-01,Leche/ productos lacteos/ huevos y alimentos vegetales,100.0
10,2024-03-01,Otros alimentos,100.0
11,2024-03-01,Pan / pastas y cereales,100.0
12,2024-03-01,Pescados y mariscos,100.0
13,2024-03-01,Prendas de vestir,100.0
14,2024-03-01,Verduras/ tuberculos y legumbres,100.0
15,2024-03-01,celulares y pequenos electrodomesticos,100.0
16,2024-03-01,cuidado oral,100.0
17,2024-03-01,farmacia,100.0
18,2024-03-01,informatica,100.0
19,2024-03-01,libreria,100.0
20,2024-03-01,limpieza,100.0
21,2024-03-01,sin TACC,100.0
22,2024-03-02,Aceites/ aderezos/ grasas y manteca,100.31952098641146
23,2024-03-02,Alquileres,100.0
24,2024-03-02,Azucar/ dulces/ chocolate/golosinas/ etc.,52.69671056171775
25,2024-03-02,Bebidas alcoholicas y tabaco,106.05210812925947
26,2024-03-02,Bebidas no alcoholicas,97.91980243510085
27,2024-03-02,Calzado,100.0
28,2024-03-02,Carnes y derivados,109.5330994112778
29,2024-03-02,Electricidad,100.0
30,2024-03-02,Frutas,70.52794326560272
31,2024-03-02,Leche/ productos lacteos/ huevos y alimentos vegetales,89.69067977084076
32,2024-03-02,Otros alimentos,100.0
33,2024-03-02,Pan / pastas y cereales,94.85260070240463
34,2024-03-02,Pescados y mariscos,98.57813128379284
35,2024-03-02,Prendas de vestir,99.44860689678762
36,2024-03-02,Verduras/ tuberculos y legumbres,98.45463210832204
37,2024-03-02,celulares y pequenos electrodomesticos,82.42239615211679
