date,categoria_indice,precio_promedio
2024-03-01,Pan / pastas y cereales,2320.9528599330356
2024-03-01,Frutas,2095.6253814697266
2024-03-01,Verduras/ tuberculos y legumbres,1946.2307692307693
2024-03-01,Prendas de vestir,77883.29322130927
2024-03-01,libreria,2452.4135314941404
2024-03-01,celulares y pequenos electrodomesticos,160299.36669921875
2024-03-01,informatica,178326.97197614398
2024-03-01,Leche/ productos lacteos/ huevos y alimentos vegetales,4487.327880859375
2024-03-01,Bebidas no alcoholicas,1922.894280569894
2024-03-01,sin TACC,1313.4628173828125
2024-03-01,Bebidas alcoholicas y tabaco,4381.0
2024-03-01,Aceites/ aderezos/ grasas y manteca,2566.3416015625
2024-03-01,Carnes y derivados,5806.347291734483
2024-03-01,limpieza,2580.5
2024-03-01,Azucar/ dulces/ chocolate/golosinas/ etc.,2314.1957484654017
2024-03-01,Pescados y mariscos,2664.1666666666665
2024-03-01,Otros alimentos,1837.5
2024-03-01,cuidado oral,2635.0
2024-03-01,farmacia,2786.3636363636365
2024-03-01,Calzado,76874.0
2024-03-02,Pan / pastas y cereales,2201.484148723323
2024-03-02,Frutas,1478.001480102539
2024-03-02,Verduras/ tuberculos y legumbres,1916.1543438251201
2024-03-02,Prendas de vestir,77453.85011393229
2024-03-02,libreria,2452.4135314941404
2024-03-02,celulares y pequenos electrodomesticos,132122.57905016447
2024-03-02,informatica,178326.97197614398
2024-03-02,Leche/ productos lacteos/ huevos y alimentos vegetales,4024.714879889237
2024-03-02,Bebidas no alcoholicas,1882.894280569894
2024-03-02,sin TACC,1127.0534973144531
2024-03-02,Bebidas alcoholicas y tabaco,4646.142857142857
2024-03-02,Aceites/ aderezos/ grasas y manteca,2574.5416015625
2024-03-02,Carnes y derivados,6359.872151219568
2024-03-02,limpieza,2580.5
2024-03-02,Azucar/ dulces/ chocolate/golosinas/ etc.,1219.5050354003906
2024-03-02,Pescados y mariscos,2626.285714285714
2024-03-02,Otros alimentos,1837.5
2024-03-02,cuidado oral,2015.8333333333333
2024-03-02,farmacia,2826.923076923077
2024-03-02,Calzado,76874.0
2024-03-03,Pan / pastas y cereales,2117.7712524414064
2024-03-03,Frutas,1320.3760986328125
